Column Name,Data Type
id,object
name,object
name_abbreviation,object
decision_date,object
docket_number,object
first_page,object
last_page,object
citations,object
cites_to,object
last_updated,object
file_name,object
first_page_order,float64
last_page_order,float64
court.name_abbreviation,object
court.id,float64
court.name,object
jurisdiction.id,float64
jurisdiction.name_long,object
jurisdiction.name,object
analysis.cardinality,float64
analysis.char_count,float64
analysis.ocr_confidence,float64
analysis.pagerank.raw,float64
analysis.pagerank.percentile,float64
analysis.sha256,object
analysis.simhash,object
analysis.word_count,float64
provenance.date_added,object
provenance.source,object
provenance.batch,object
casebody.judges,object
casebody.parties,object
casebody.opinions,object
casebody.attorneys,object
casebody.corrections,object
casebody.head_matter,object
citations_0,object
cites_to_0,object
cites_to_1,object
cites_to_2,object
cites_to_3,object
cites_to_4,object
cites_to_5,object
cites_to_6,object
cites_to_7,object
cites_to_8,object
cites_to_9,object
cites_to_10,object
cites_to_11,object
cites_to_12,object
cites_to_13,object
cites_to_14,object
cites_to_15,object
cites_to_16,object
cites_to_17,object
cites_to_18,object
cites_to_19,object
cites_to_20,object
cites_to_21,object
cites_to_22,object
cites_to_23,object
cites_to_24,object
cites_to_25,object
cites_to_26,object
cites_to_27,object
cites_to_28,object
cites_to_29,object
cites_to_30,object
cites_to_31,object
cites_to_32,object
cites_to_33,object
cites_to_34,object
cites_to_35,object
cites_to_36,object
cites_to_37,object
cites_to_38,object
cites_to_39,object
cites_to_40,object
cites_to_41,object
cites_to_42,object
cites_to_43,object
cites_to_44,object
cites_to_45,object
cites_to_46,object
cites_to_47,object
cites_to_48,object
cites_to_49,object
cites_to_50,object
cites_to_51,object
cites_to_52,object
cites_to_53,object
cites_to_54,object
cites_to_55,object
cites_to_56,object
cites_to_57,object
cites_to_58,object
cites_to_59,object
cites_to_60,object
cites_to_61,object
cites_to_62,object
cites_to_63,object
cites_to_64,object
cites_to_65,object
cites_to_66,object
cites_to_67,object
cites_to_68,object
cites_to_69,object
cites_to_70,object
cites_to_71,object
cites_to_72,object
cites_to_73,object
cites_to_74,object
cites_to_75,object
cites_to_76,object
cites_to_77,object
cites_to_78,object
cites_to_79,object
cites_to_80,object
cites_to_81,object
cites_to_82,object
cites_to_83,object
cites_to_84,object
cites_to_85,object
cites_to_86,object
cites_to_87,object
cites_to_88,object
cites_to_89,object
cites_to_90,object
cites_to_91,object
cites_to_92,object
cites_to_93,object
cites_to_94,object
cites_to_95,object
cites_to_96,object
cites_to_97,object
cites_to_98,object
cites_to_99,object
cites_to_100,object
cites_to_101,object
cites_to_102,object
cites_to_103,object
cites_to_104,object
cites_to_105,object
cites_to_106,object
cites_to_107,object
cites_to_108,object
cites_to_109,object
cites_to_110,object
cites_to_111,object
cites_to_112,object
cites_to_113,object
cites_to_114,object
cites_to_115,object
cites_to_116,object
cites_to_117,object
cites_to_118,object
cites_to_119,object
cites_to_120,object
cites_to_121,object
cites_to_122,object
cites_to_123,object
cites_to_124,object
cites_to_125,object
cites_to_126,object
cites_to_127,object
cites_to_128,object
cites_to_129,object
cites_to_130,object
cites_to_131,object
cites_to_132,object
cites_to_133,object
cites_to_134,object
cites_to_135,object
cites_to_136,object
cites_to_137,object
cites_to_138,object
cites_to_139,object
cites_to_140,object
cites_to_141,object
cites_to_142,object
cites_to_143,object
cites_to_144,object
cites_to_145,object
cites_to_146,object
cites_to_147,object
cites_to_148,object
cites_to_149,object
cites_to_150,object
cites_to_151,object
cites_to_152,object
cites_to_153,object
cites_to_154,object
cites_to_155,object
cites_to_156,object
cites_to_157,object
cites_to_158,object
cites_to_159,object
cites_to_160,object
cites_to_161,object
cites_to_162,object
cites_to_163,object
cites_to_164,object
cites_to_165,object
cites_to_166,object
cites_to_167,object
cites_to_168,object
cites_to_169,object
cites_to_170,object
cites_to_171,object
cites_to_172,object
cites_to_173,object
cites_to_174,object
cites_to_175,object
cites_to_176,object
cites_to_177,object
cites_to_178,object
cites_to_179,object
cites_to_180,object
cites_to_181,object
cites_to_182,object
cites_to_183,object
cites_to_184,object
cites_to_185,object
cites_to_186,object
cites_to_187,object
cites_to_188,object
cites_to_189,object
cites_to_190,object
cites_to_191,object
cites_to_192,object
cites_to_193,object
cites_to_194,object
cites_to_195,object
cites_to_196,object
cites_to_197,object
cites_to_198,object
cites_to_199,object
cites_to_200,object
cites_to_201,object
cites_to_202,object
cites_to_203,object
cites_to_204,object
volume_number,object
title,object
publisher,object
publication_year,float64
start_year,float64
end_year,float64
series_volume_number,object
jurisdictions,object
harvard_hollis_id,object
spine_start_year,float64
spine_end_year,float64
publication_city,object
second_part_of_id,object
redacted,object
nominative_reporter,object
